epoch,train_loss,test_loss
1,4.493760113014595,4.571375608444214
2,4.489924279357324,4.571645796298981
3,4.48813596412317,4.562597572803497
4,4.487448012142547,4.5761613845825195
5,4.490204342392716,4.580207884311676
6,4.488060251736184,4.5656658411026
7,4.4889006563849545,4.573093950748444
8,4.4895673875869715,4.567095220088959
9,4.486656144229588,4.575706303119659
10,4.486496894852693,4.5707515478134155
11,4.488278987819452,4.580240368843079
12,4.488690134304673,4.570854187011719
13,4.4870447888811515,4.574907183647156
14,4.487038165013165,4.567498564720154
15,4.486248443375772,4.5684040784835815
16,4.486296406686941,4.571381151676178
17,4.487103258877166,4.575143754482269
18,4.4884462122724,4.572969853878021
19,4.4845655406716025,4.56970876455307
20,4.4845575259438455,4.558339595794678
21,4.486475316192041,4.564937114715576
22,4.4847766778616505,4.5675963163375854
23,4.484799210196619,4.575016558170319
24,4.484955474511901,4.566015601158142
25,4.486091233519857,4.568988144397736
26,4.485973192430508,4.562625348567963
27,4.485333762951751,4.569248974323273
28,4.4862954123442105,4.573591768741608
29,4.486699060590537,4.573447585105896
30,4.486080965761945,4.569111943244934
31,4.484689378026706,4.573396563529968
32,4.48455637706114,4.574459552764893
33,4.486033895122471,4.566603481769562
34,4.484652540576992,4.5704861879348755
35,4.487103587274612,4.5637969970703125
36,4.48390514459183,4.575512170791626
37,4.483927486801961,4.562171757221222
38,4.483429657624983,4.572719991207123
39,4.483639668299953,4.56837785243988
40,4.484698701260695,4.564616620540619
41,4.483341588140297,4.569138288497925
42,4.484542076013236,4.568471908569336
43,4.482516013228817,4.570636630058289
44,4.481989727345611,4.568468630313873
45,4.482090739553163,4.579295873641968
46,4.482427085640588,4.569714725017548
47,4.484704876759413,4.588455617427826
48,4.483754434565237,4.5716893672943115
49,4.484238955003621,4.5656930804252625
50,4.482451249795682,4.575338542461395
